DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-16 12:15:00,2.0,2.0,,
2018-02-16 12:30:00,2.0,2.0,,
2018-02-16 12:45:00,2.0,2.0,,
2018-02-16 13:00:00,2.0,2.0,,
2018-02-16 13:15:00,2.0,2.0,,
2018-02-16 13:30:00,2.0,2.0,,
2018-02-16 13:45:00,2.0,2.0,,
2018-02-16 14:00:00,2.0,2.0,,
2018-02-16 14:15:00,2.0,2.0,,
2018-02-16 14:30:00,2.0,2.0,,
2018-02-16 14:45:00,2.0,2.0,,
2018-02-16 15:00:00,2.0,2.0,,
2018-02-16 15:15:00,7.0,8.5,,
2018-02-16 15:30:00,8.0,11.0,,
2018-02-16 15:45:00,6.0,9.0,,
2018-02-16 16:00:00,5.0,7.0,,
2018-02-16 16:15:00,5.0,6.0,,
2018-02-16 16:30:00,4.0,5.0,,
2018-02-16 16:45:00,3.0,4.0,,
2018-02-16 17:00:00,3.0,4.0,,
2018-02-16 17:15:00,3.0,4.0,,
2018-02-16 17:30:00,3.0,4.0,,
2018-02-16 17:45:00,3.0,3.0,,
2018-02-16 18:00:00,3.0,3.0,,
2018-02-16 18:15:00,2.0,3.0,,
2018-02-16 18:30:00,2.0,3.0,,
2018-02-16 18:45:00,4.0,6.0,,
2018-02-16 19:00:00,4.0,6.0,,
2018-02-16 19:15:00,4.5,6.0,,
2018-02-16 19:30:00,5.0,7.0,,
2018-02-16 19:45:00,5.0,6.0,,
2018-02-16 20:00:00,5.0,6.0,,
2018-02-16 20:15:00,4.0,6.0,,
2018-02-16 20:30:00,4.0,6.0,,
2018-02-16 20:45:00,4.0,6.0,,
2018-02-16 21:00:00,4.0,5.0,,
2018-02-16 21:15:00,4.0,5.0,,
2018-02-16 21:30:00,4.0,5.0,,
2018-02-16 21:45:00,4.0,5.0,,
2018-02-16 22:00:00,4.0,5.0,,
2018-02-16 22:15:00,4.0,5.0,,
2018-02-16 22:30:00,5.0,11.0,,
2018-02-16 22:45:00,5.0,10.0,,
2018-02-16 23:00:00,5.0,9.0,,
2018-02-16 23:15:00,5.0,8.0,,
2018-02-16 23:30:00,4.0,8.0,,
2018-02-16 23:45:00,4.0,7.0,,
2018-02-17 00:00:00,4.0,7.0,,
2018-02-17 00:15:00,4.0,6.0,,
2018-02-17 00:30:00,4.0,5.0,,
2018-02-17 00:45:00,4.0,5.0,,
2018-02-17 01:00:00,4.0,5.0,,
2018-02-17 01:15:00,4.0,5.0,,
2018-02-17 01:30:00,4.0,5.0,,
2018-02-17 01:45:00,4.0,4.5,,
2018-02-17 02:00:00,3.0,4.5,,
2018-02-17 02:15:00,3.0,4.0,,
2018-02-17 02:30:00,3.0,4.0,,
2018-02-17 02:45:00,3.0,4.0,,
2018-02-17 03:00:00,3.0,4.0,,
2018-02-17 03:15:00,3.0,3.0,,
2018-02-17 03:30:00,3.0,3.0,,
2018-02-17 03:45:00,3.0,3.0,,
2018-02-17 04:00:00,3.0,3.0,,
2018-02-17 04:15:00,2.5,3.0,,
2018-02-17 04:30:00,2.0,3.0,,
2018-02-17 04:45:00,2.0,3.0,,
2018-02-17 05:00:00,2.0,3.0,,
2018-02-17 05:15:00,2.0,2.5,,
2018-02-17 05:30:00,2.0,2.0,,
2018-02-17 05:45:00,2.0,2.0,,
2018-02-17 06:00:00,2.0,3.0,,
2018-02-17 06:15:00,2.0,2.0,,
2018-02-17 06:30:00,2.0,2.0,,
2018-02-17 06:45:00,2.0,2.0,,
2018-02-17 07:00:00,2.0,2.0,,
2018-02-17 07:15:00,2.0,2.0,,
2018-02-17 07:30:00,2.0,2.0,,
2018-02-17 07:45:00,2.0,2.0,,
2018-02-17 08:00:00,2.0,2.0,,
2018-02-17 08:15:00,2.0,2.0,,
2018-02-17 08:30:00,2.0,2.0,,
2018-02-17 08:45:00,2.0,2.0,,
2018-02-17 09:00:00,2.0,2.0,,
2018-02-17 09:15:00,2.0,2.0,,
2018-02-17 09:30:00,6.5,9.0,,
2018-02-17 09:45:00,9.0,12.0,,
2018-02-17 10:00:00,9.0,12.0,,
2018-02-17 10:15:00,8.0,11.0,,
2018-02-17 10:30:00,8.0,11.0,,
2018-02-17 10:45:00,8.0,10.0,,
2018-02-17 11:00:00,7.0,9.0,,
2018-02-17 11:15:00,7.0,9.0,,
2018-02-17 11:30:00,7.0,9.0,,
2018-02-17 11:45:00,6.0,7.0,,
2018-02-17 12:00:00,6.0,7.0,,
2018-02-17 12:15:00,6.0,7.0,,
2018-02-17 12:30:00,6.0,7.5,,
2018-02-17 12:45:00,6.0,7.0,,
2018-02-17 13:00:00,5.0,6.0,,
2018-02-17 13:15:00,5.0,6.0,,
2018-02-17 13:30:00,5.0,5.0,,
2018-02-17 13:45:00,6.5,8.0,,
2018-02-17 14:00:00,10.0,11.0,,
2018-02-17 14:15:00,9.0,10.0,,
2018-02-17 14:30:00,7.0,8.0,,
2018-02-17 14:45:00,8.0,9.0,,
2018-02-17 15:00:00,7.0,7.0,,
2018-02-17 15:15:00,5.0,6.0,,
2018-02-17 15:30:00,5.0,5.0,,
2018-02-17 15:45:00,4.0,5.0,,
2018-02-17 16:00:00,4.0,5.0,,
2018-02-17 16:15:00,4.0,4.0,,
2018-02-17 16:30:00,4.0,4.0,,
2018-02-17 16:45:00,4.0,5.0,,
2018-02-17 17:00:00,4.0,5.0,,
2018-02-17 17:15:00,4.0,5.0,,
2018-02-17 17:30:00,4.0,5.0,,
2018-02-17 17:45:00,4.0,5.0,,
2018-02-17 18:00:00,4.0,5.0,,
2018-02-17 18:15:00,4.0,4.5,,
2018-02-17 18:30:00,4.0,4.0,,
2018-02-17 18:45:00,4.0,4.0,,
2018-02-17 19:00:00,3.0,3.0,,
2018-02-17 19:15:00,7.0,14.0,,
2018-02-17 19:30:00,7.0,14.0,,
2018-02-17 19:45:00,6.0,12.0,,
2018-02-17 20:00:00,5.0,10.0,,
2018-02-17 20:15:00,4.0,8.0,,
2018-02-17 20:30:00,3.0,7.0,,
2018-02-17 20:45:00,3.0,5.0,,
2018-02-17 21:00:00,3.0,6.0,,
2018-02-17 21:15:00,3.0,5.0,,
2018-02-17 21:30:00,2.0,4.0,,
2018-02-17 21:45:00,2.0,4.0,,
2018-02-17 22:00:00,2.0,4.0,,
2018-02-17 22:15:00,4.0,13.0,,
2018-02-17 22:30:00,4.0,12.0,,
2018-02-17 22:45:00,4.0,11.0,,
2018-02-17 23:00:00,3.0,8.0,,
2018-02-17 23:15:00,3.0,9.0,,
2018-02-17 23:30:00,3.0,7.0,,
